# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 283, mean track length: 2
239 4.6299124898933055 -0.11047746073622823 31.8331482296114 62 64 24 0.30232058978250242 242 1663 186 3554
240 2.4582148812443472 0.81421426349119308 15.024574158494028 246 235 250 0.34243264711686527 242 1815 186 3583
241 2.7433565004443223 1.0730094583416367 15.2660003562998 113 115 127 0.11160621002075284 242 1702 186 3590
242 1.6302844153239924 1.5654824351015542 15.533975930662457 7 1 3 0.19850354767866643 242 1826 186 3596
243 3.6908469166565765 -3.6956460668839575 30.619720835728618 67 63 62 0.04516145634214664 242 1828 186 3604
244 4.1078131578036992 -3.6611293158764906 30.893860324181858 12 12 13 0.020374553741291587 242 1900 186 3605
245 5.2612077213860289 -3.1804653959928046 31.925688114185913 8 9 11 0.087592468523859185 242 1834 186 3618
246 3.5478964389998797 -2.7712050919774365 30.951491306611626 83 66 59 0.15352288261308056 242 1837 186 3624
247 3.9665144780254691 -2.7938420774280353 31.310962677834066 145 132 116 0.11231219279354823 242 1839 186 3625
248 6.4782764967617759 -2.9387625040875998 32.840965952288457 42 42 36 0.098736424583514795 242 1841 186 3626
249 3.6681239080287948 -2.5727387443512351 31.024763184708842 142 126 112 0.10843930695534706 242 1844 186 3631
250 6.1619209586626109 -2.3099280442980503 32.566550179384883 91 90 94 0.6179235403283343 242 1747 186 3637
251 6.2538374966852128 -1.9783646163848978 32.612916338761217 80 84 83 0.069948177857964866 242 1855 186 3641
252 5.7724188120643296 -1.8476286768863472 32.471918199904898 89 88 93 0.25787779896332008 242 1856 186 3643
253 4.0449894695164206 -0.73055500273275653 31.465257221388221 132 127 97 0.13684962313891147 242 1863 186 3658
254 7.8174859963877887 -0.63633588891934745 33.487623389572036 91 95 94 0.039607635371894226 242 1864 186 3660
255 3.9048996781833138 -3.1972961031621456 31.03890865280216 61 53 51 0.086365024995372797 242 1905 186 3711
